Company,Title,Country,City,Region Tier,Category,Employment Type,Duration,Expected Start,Expected End,Application Status,Application Deadline,Link,Source,External ID,Date Posted,Last Verified,Undergrad Eligible,Foreign University Eligible,International Eligible,Work Auth Required,Visa Sponsorship,Local Language Required,English Environment,Visa Category,Visa Explanation,Visa Route,Visa Evidence,Paid,Compensation,Currency,Housing,Relocation,Match Score,Score Breakdown,Why It Fits,Barriers,Bucket,Status,Notes,Date Applied,Interview Date,Offer Status,Follow-up Date
Jump Trading,Campus ML Research Engineer (Intern),United Kingdom,London,1,Machine Learning / AI,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7977145,greenhouse:jumptrading,7977145,2026-07-13,2026-09-08,Unclear,Unclear,Yes,No,Yes,No,Yes,A,offers visa or work-permit support,Government Authorised Exchange (Tier 5 / GAE) covers student internships,ERNATIONAL STUDENTS are encouraged to apply. We sponsor work visas for full-time positions.</p>,Not publicly disclosed,,,Unclear,Unclear,94,role 25; visa 25; pay 10; company 15; eligibility 10; location 9,Machine Learning / AI role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,Campus Software Engineer (Intern),United Kingdom,London,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7975026,greenhouse:jumptrading,7975026,2026-07-13,2026-09-08,Unclear,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,"59738&quot;:0,&quot;335559739&quot;:0}&quot;>INTERNATIONAL STUDENTS are encouraged to apply.</span></p>",Not publicly disclosed,,,Unclear,Unclear,94,role 25; visa 25; pay 10; company 15; eligibility 10; location 9,Software Engineering role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,Campus UI Software Engineer (Intern),United Kingdom,London,1,Software Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7974943,greenhouse:jumptrading,7974943,2026-07-13,2026-09-08,Unclear,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,"59738&quot;:0,&quot;335559739&quot;:0}&quot;>INTERNATIONAL STUDENTS are encouraged to apply.&nbsp;</span></p>",Not publicly disclosed,,,Unclear,Unclear,94,role 25; visa 25; pay 10; company 15; eligibility 10; location 9,Software Engineering role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,Campus ML Research Engineer (Full-Time),United Kingdom,London,1,Machine Learning / AI,Internship,,2027-05,2027-08,Closed,,https://www.jumptrading.com/hr/job?gh_jid=7977132,greenhouse:jumptrading,7977132,2026-07-13,2026-09-06,Unclear,Unclear,Yes,No,Yes,No,Yes,A,offers visa or work-permit support,Government Authorised Exchange (Tier 5 / GAE) covers student internships,ERNATIONAL STUDENTS are encouraged to apply. We sponsor work visas for full-time positions.</p> <p>Benefits in,Not publicly disclosed,,,Unclear,Unclear,94,role 25; visa 25; pay 10; company 15; eligibility 10; location 9,Machine Learning / AI role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Closed,No longer listed on the company board,,,,
Jump Trading,Campus Data Engineer (Intern),United Kingdom,London,1,Data Engineering,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7975008,greenhouse:jumptrading,7975008,2026-07-13,2026-09-08,Unclear,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,/ul> <p><span data-contrast=&quot;auto&quot;>INTERNATIONAL STUDENTS are encouraged to apply.&nbsp;</span>&nbsp;</p>,Not publicly disclosed,,,Unclear,Unclear,91,role 22; visa 25; pay 10; company 15; eligibility 10; location 9,Data Engineering role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,Campus AI/ML Researcher (Intern),Hong Kong,,3,Machine Learning / AI,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=8027938,greenhouse:jumptrading,8027938,2026-08-24,2026-09-08,Unclear,Unclear,Yes,No,Yes,Unclear,Unclear,A,explicitly welcomes international applicants,,"family: helvetica, arial, sans-serif;&quot;>*INTERNATIONAL STUDENTS are encouraged to apply.&nbsp;</span></em><br><span style=&",Not publicly disclosed,,,Unclear,Unclear,88,role 25; visa 25; pay 10; company 15; eligibility 10; location 3,Machine Learning / AI role in Hong Kong; employer states international support,compensation not publicly disclosed; English working environment unconfirmed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,"Campus AI Researcher, PhD/Postdoc (Intern)",United Kingdom,London,1,Machine Learning / AI,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7976964,greenhouse:jumptrading,7976964,2026-07-13,2026-09-08,No,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,"tooling, and/or infrastructure</li> </ul> <p>INTERNATIONAL STUDENTS are encouraged to apply.&nbsp;</p>",Not publicly disclosed,,,Unclear,Unclear,86,role 25; visa 25; pay 10; company 15; eligibility 2; location 9,Machine Learning / AI role in United Kingdom; employer states international support,compensation not publicly disclosed; appears to target PhD candidates; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,"Campus AI Researcher, PhD/Postdoc (Full-Time)",United Kingdom,London,1,Machine Learning / AI,Internship,,2027-05,2027-08,Closed,,https://www.jumptrading.com/hr/job?gh_jid=7976923,greenhouse:jumptrading,7976923,2026-07-13,2026-09-06,No,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,"tooling, and/or infrastructure</li> </ul> <p>INTERNATIONAL STUDENTS are encouraged to apply.</p> <hr> <p>Benefits include:</p>",Not publicly disclosed,,,Unclear,Unclear,86,role 25; visa 25; pay 10; company 15; eligibility 2; location 9,Machine Learning / AI role in United Kingdom; employer states international support,compensation not publicly disclosed; appears to target PhD candidates; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Closed,No longer listed on the company board,,,,
Jump Trading,Campus ASIC Engineer (Intern),United Kingdom,Bristol,1,Hardware / Embedded,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7974837,greenhouse:jumptrading,7974837,2026-07-13,2026-09-08,Yes,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,div> <p><span data-contrast=&quot;auto&quot;>INTERNATIONAL STUDENTS are encouraged to apply.&nbsp;</span> <span data-ccp-props=,Not publicly disclosed,,,Unclear,Unclear,85,role 16; visa 25; pay 10; company 15; eligibility 10; location 9,Hardware / Embedded role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
Jump Trading,Campus FPGA Engineer (Intern),United Kingdom,London,1,Hardware / Embedded,Internship,,2027-05,2027-08,Open (cycle unconfirmed),,https://www.jumptrading.com/hr/job?gh_jid=7974391,greenhouse:jumptrading,7974391,2026-07-13,2026-09-08,Yes,Unclear,Yes,No,Yes,No,Yes,A,explicitly welcomes international applicants,Government Authorised Exchange (Tier 5 / GAE) covers student internships,div> <p><span data-contrast=&quot;auto&quot;>INTERNATIONAL STUDENTS are encouraged to apply.</span></p> </div> </div> <p>&nbsp;,Not publicly disclosed,,,Unclear,Unclear,85,role 16; visa 25; pay 10; company 15; eligibility 10; location 9,Hardware / Embedded role in United Kingdom; employer states international support,compensation not publicly disclosed; not confirmed as a Summer 2027 posting,🔥 Apply Immediately,Not Applied,,,,,
