company,role,location,link,no_sponsorship,source,sponsorship_tier,sponsorship_notes,date_posted
Vertiv,Product Management Intern 🛂,"Westerville, OH",https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20278933,True,vansh_repo,4,No sponsorship per listing,2026-08-21
Vertiv,"Product Management Intern, MBA 🛂","Delaware, OH",https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20278958,True,vansh_repo,4,No sponsorship per listing,2026-08-21
The Nuclear Company,AI Applied Research Intern 🛂,"Washington, DC",https://job-boards.greenhouse.io/thenuclearcompany/jobs/5391923008,True,vansh_repo,5,Unknown - verify with company,2026-08-21
Replit,Software Engineering Intern,"Foster City, CA",https://jobs.ashbyhq.com/replit/7e0dafe8-3eec-442e-aa76-a4d84d779fb1,False,vansh_repo,4,1 H-1B approvals in FY2023 (0 denied) - sponsors in practice,2026-08-21
Notion,Software Engineer Intern,"San Francisco, CANew York, NY",https://jobs.ashbyhq.com/notion/3fba1c39-c5cb-47d7-9ad2-1cec4d7e9d0c,False,vansh_repo,3,8 H-1B approvals in FY2023 (0 denied) - sponsors in practice,2026-08-21
Millennium,Quantitative Developer Intern,"New York, NY",https://career.mlp.com/careers/job/755957819661,False,vansh_repo,5,Unknown - verify with company,2026-08-21
Millennium,Applied AI Engineer Intern,"Miami, FL",https://career.mlp.com/careers/job/755957778848,False,vansh_repo,5,Unknown - verify with company,2026-08-21
Kastle,Software Engineer Intern,"San Francisco, CA",https://jobs.ashbyhq.com/kastle/6f32db51-de45-472f-a9c8-d9419d3634ee,False,vansh_repo,5,Unknown - verify with company,2026-08-21
JPMorgan Chase,"Quantitative Research, Asset Management Summer Analyst 🛂","New York, NY",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210774074,True,vansh_repo,1,1524 H-1B approvals in FY2023 (24 denied) - sponsors in practice,2026-08-21
JPMorgan Chase,"Quantitative Research, Markets, Summer Internship - Analyst","New York, NY",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210774038,False,vansh_repo,1,1524 H-1B approvals in FY2023 (24 denied) - sponsors in practice,2026-08-21
Hypercubic,Software Engineering Intern,"San Francisco, CA",https://jobs.ashbyhq.com/hypercubic/ab7a23f9-7280-4443-b442-2813dc39d490,False,vansh_repo,5,Unknown - verify with company,2026-08-21
Humana,"Software Engineer Intern, CenterWell and Humana Military 🛂","Louisville, KY",https://humana.wd5.myworkdayjobs.com/Humana_External_Career_Site/job/Louisville-KY/Humana-Technology-Internship---Summer-2027_R-424692-1,True,vansh_repo,4,No sponsorship per listing,2026-08-21
HPR,FPGA Engineering Intern 🛂,"Needham, MA",https://job-boards.greenhouse.io/hyannisportresearch/jobs/7822801003,True,vansh_repo,5,Unknown - verify with company,2026-08-21
Freeform,Software Engineering Intern,"Los Angeles, CA",https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7872198003,False,vansh_repo,5,Unknown - verify with company,2026-08-21
Exa,Software Engineer Intern,"San Francisco, CA",https://jobs.ashbyhq.com/exa/a9e01521-66f1-481b-89da-ec01d4620f16,False,vansh_repo,5,Unknown - verify with company,2026-08-21
Epic Games,Machine Learning Research Intern 🛂,"Montreal, Canada",https://www.epicgames.com/site/careers/jobs/6138140004,True,vansh_repo,4,No sponsorship per listing,2026-08-21
Epic Games,Gameplay Programmer Intern,"Cary, United States",https://www.epicgames.com/site/careers/jobs/6141180004,False,vansh_repo,4,No sponsorship per listing,2026-08-21
DV Group,"Software Engineer Intern, Commodities","New York, NY",https://job-boards.greenhouse.io/dvtrading/jobs/4719119005,False,vansh_repo,4,1 H-1B approvals in FY2023 (0 denied) - sponsors in practice,2026-08-21
Copart,QA Engineering Intern,"Dallas, TX",https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/QA-Engineering-Intern_JR109671,False,vansh_repo,3,19 H-1B approvals in FY2023 (0 denied) - sponsors in practice,2026-08-21
Atoms,Software Engineer Intern,"5 locationsNew York, NYSeattle, WALos Angeles, CAMountain View, CASan Francisco, CA",https://job-boards.greenhouse.io/cssmerge/jobs/8687896002,False,vansh_repo,5,Unknown - verify with company,2026-08-21
American Express,"Product Management Intern, Global Merchant & Network Services 🛂","Phoenix, AZ",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26012148,True,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
American Express,"AI Engineer Intern, Enterprise Technology Services 🛂","New York, NY",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011698,True,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
American Express,"AI Engineer Intern, Enterprise Technology Services","Sunrise, FL",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011745,False,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
American Express,"AI Engineer Intern, Enterprise Technology Services 🛂","Atlanta, GA",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011796,True,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
American Express,"AI Engineer Intern, Enterprise Technology Services 🛂","Phoenix, AZ",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26012375,True,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
American Express,"AI Engineer Intern, Enterprise Technology Services 🛂","New York, NY",https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011991,True,vansh_repo,3,6 H-1B approvals in FY2023 (1 denied) - sponsors in practice,2026-08-21
